datetime,open,high,low,close,volume,return,RV_Return,delta_H,delta_alpha,alpha_0,alpha_min,alpha_max,asym_index,delta_H_daily_mean,delta_alpha_daily_mean,alpha_0_daily_mean,alpha_min_daily_mean,alpha_max_daily_mean,asym_index_daily_mean,Future_Vol_24h
2021-01-01 00:10:00,28882.61,28912.18,28706.0,28849.31,2998.621,-0.11536080453584674,0.04545944326782526,0.22021802358194814,0.37843524480047613,0.5100379065394947,0.28532424197433054,0.6637594867748067,0.1875937437256446,0.20421605741323967,0.3493309550065607,0.5121185090506825,0.2975141697353052,0.646845124741866,0.22854886191696655,0.02759565545363281
2021-01-01 00:20:00,28849.31,28902.68,28761.14,28859.28,1160.886,0.03455291525646942,0.04521342965359609,0.22208794446126,0.3810883091785591,0.5117423682268454,0.278155732649696,0.6592440418282551,0.2258924241504466,0.20421605741323967,0.3493309550065607,0.5121185090506825,0.2975141697353052,0.646845124741866,0.22854886191696655,0.028092032854326966
2021-01-01 00:30:00,28860.0,28955.1,28859.99,28919.09,882.23,0.2070325672509199,0.04519694528643886,0.23311497527399927,0.4165378312984289,0.5131069688615382,0.27576539561499414,0.692303226913423,0.1395919189702625,0.20421605741323967,0.3493309550065607,0.5121185090506825,0.2975141697353052,0.646845124741866,0.22854886191696655,0.028195220948654343
2021-01-01 00:40:00,28919.09,28985.58,28910.94,28962.96,768.104,0.1515841557107933,0.04522220578069276,0.2270003623359645,0.4051033221068404,0.5102924005290029,0.28165768391773816,0.6867610060245786,0.12877236070142878,0.20421605741323967,0.3493309550065607,0.5121185090506825,0.2975141697353052,0.646845124741866,0.22854886191696655,0.028161146986824762
2021-01-01 00:50:00,28962.96,29055.0,28957.05,29015.0,989.979,0.17951654033847575,0.04524688068381599,0.20264545479449392,0.34618315106406267,0.5103316733362219,0.30249998491061264,0.6486831359746753,0.20070366097712877,0.20421605741323967,0.3493309550065607,0.5121185090506825,0.2975141697353052,0.646845124741866,0.22854886191696655,0.028170883043812812
2021-01-01 01:00:00,29015.0,29170.0,28975.46,29140.18,1868.631,0.4305040181591835,0.04539778059474191,0.19908166296606478,0.33488268000994403,0.510490738873189,0.31300361079610783,0.6478862908060519,0.17944068096455112,0.20421605741323967,0.3493309550065607,0.5121185090506825,0.2975141697353052,0.646845124741866,0.22854886191696655,0.027849734897990537
2021-01-01 01:10:00,29140.17,29499.0,29140.17,29316.02,8390.780999999999,0.6016146460519067,0.03719241751898736,0.20401918865275304,0.3403940569614974,0.5111527656384791,0.31736479370355897,0.6577588506650563,0.13860960831545815,0.20421605741323967,0.3493309550065607,0.5121185090506825,0.2975141697353052,0.646845124741866,0.22854886191696655,0.027249553597779225
2021-01-01 01:20:00,29314.81,29484.2,29281.25,29437.41,2752.652,0.4132190162438931,0.03716118973710493,0.2122744289426891,0.3511423483530399,0.5115688642950922,0.3130263274923204,0.6641686758453603,0.13083789371458165,0.20421605741323967,0.3493309550065607,0.5121185090506825,0.2975141697353052,0.646845124741866,0.22854886191696655,0.026942979710537628
2021-01-01 01:30:00,29440.3,29546.42,29350.0,29441.54,3826.055,0.014028782805297624,0.03714826564309553,0.22300898093020333,0.3795323953974912,0.5127920466240175,0.2984264563000373,0.6779588516975285,0.12963000220031912,0.20421605741323967,0.3493309550065607,0.5121185090506825,0.2975141697353052,0.646845124741866,0.22854886191696655,0.027069694133012915
2021-01-01 01:40:00,29437.71,29452.15,29350.0,29425.89,1506.733,-0.053170319712236846,0.03692294648349232,0.20521057581499957,0.34982593589852373,0.5112437195904054,0.2932194737247663,0.64304540962329,0.2464727368235085,0.20421605741323967,0.3493309550065607,0.5121185090506825,0.2975141697353052,0.646845124741866,0.22854886191696655,0.02718713773218835
